Company,Public Or Private,Country,Industry,Description,Website,Employees (Estimate),Region,Sdg 1: Aligned,Sdg 1: Misaligned,Sdg 2: Aligned,Sdg 2: Misaligned,Sdg 3: Aligned,Sdg 3: Misaligned,Sdg 4: Aligned,Sdg 4: Misaligned,Sdg 5: Aligned,Sdg 5: Misaligned,Sdg 6: Aligned,Sdg 6: Misaligned,Sdg 7: Aligned,Sdg 7: Misaligned,Sdg 8: Aligned,Sdg 8: Misaligned,Sdg 9: Aligned,Sdg 9: Misaligned,Sdg 10: Aligned,Sdg 10: Misaligned,Sdg 11: Aligned,Sdg 11: Misaligned,Sdg 12: Aligned,Sdg 12: Misaligned,Sdg 13: Aligned,Sdg 13: Misaligned,Sdg 14: Aligned,Sdg 14: Misaligned,Sdg 15: Aligned,Sdg 15: Misaligned,B Corp,Company Size,Culture Score,Capacity Score,Conduct Score,Collaboration Score,Oracle Score,Revenue (M),Member Of Business In The Community Uk,Member Full Abpi,Net Impact Ratio,B Corp Community Impact Score,B Corp Assessment Score
Uranium Energy,Public,USA,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-1,0,Micro,0,0,0,0,0,13,0,0,-0.145374449,,
Gulf Energy,Public,Kenya,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Africa,0,0,0,0,0,-0.019,0,0,0,0,0,-0.096,0.019,-0.436,0.25,0,0.019,-0.34,0,0,0,-0.34,0.06,0,0,-0.568,0,-0.096,0,0,0,Micro,0,0,0,0,0,16,0,0,,,
Fortum,Public,Finland,Environment and Energy,"Fortum Oyj is a Finnish state-owned energy company located in Espoo, Finland. It mainly focuses on the Nordic region. Fortum operates power plants, including co-generation plants, and generates and sells electricity and heat. The company also sells waste services such as recycling, reutilisation, final disposal solutions and soil remediation and environmental constructions services, and other energy-related services and products e.g. consultancy services for power plants and electric vehicle charging. Fortum is listed on the Nasdaq Helsinki stock exchange.In 2020 Fortum was the biggest company in Finland by its revenue. The majority of its income came from Uniper that became Fortum's subsidiary in March 2020. Uniper was nationalised by Germany on the 21 September 2022 for 8 billion euros.  Fortum is Europe's third-largest producer of carbon-free electricity, Europe's second-largest producer of nuclear power and one of the largest gas suppliers.CollapseSource: Wikipedia",www.fortum.com,"7,712 (Annual report, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.369,0.063,-0.689,0.25,0,0.042,-0.406,0,0,0.041,-0.406,0,0,0.081,-0.429,0,-0.361,0,0,0,Mega,0,0,0,0,0,156137,0,0,0.713656388,,
Dialog,Public,Malaysia,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.143,0,-0.429,0.25,0,0,-0.429,0,0,0,-0.5,0,0,0,-0.643,0,-0.143,0,0,0,Small,0,0,0,0,0,586,0,0,,,
Smith & Wesson,Public,USA,Aerospace and Defense,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,Small,0,0,0,0,0,607,0,0,-0.193832599,,
Total,Public,France,Environment and Energy,"TotalEnergies SE is a French multinational integrated energy and petroleum company founded in 1924 and is one of the seven supermajor oil companies. Its businesses cover the entire oil and gas chain, from crude oil and natural gas exploration and production to power generation, transportation, refining, petroleum product marketing, and international crude oil and product trading. TotalEnergies is also a large-scale chemicals manufacturer.TotalEnergies has its head office in the Tour Total in La Défense district in Courbevoie, west of Paris. The company is a component of the Euro Stoxx 50 stock market index. In the 2023 Forbes Global 2000, TotalEnergies was ranked as the 21st largest public company in the world.CollapseSource: Wikipedia",www.total.com,"101,309 (Demandbase, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.306,0.166,-0.565,0.25,0,0.154,-0.349,0,0,0.05,-0.349,0.033,0,0.127,-0.581,0,-0.296,0,0,0,Mega,0,0,0,0,0,184634,0,0,,,
Nagarro,Public,Germany,Business Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.025,0,0,0,0,0,Micro,0,0,0,0,0,21,0,0,,,
Petrovietnam Power,Public,Vietnam,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-0.9,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.65,0,-0.5,0,0,0,Medium,0,0,0,0,0,1413,0,0,,,
Vector Group,Public,USA,Consumer Goods,No description available currently.,www.vectorgroupltd.com,"500 (Demandbase, 2021)",North America,0,0,0,0,0,-0.989,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,0,0,0,0,1441,0,0,-1,,
AusNet Services,Public,Australia,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0.09,-0.455,0.25,0,0.09,-0.455,0,0,0.045,-0.455,0,0,0.09,-0.515,0,0,0,0,0,Medium,0,0,0,0,0,1546,0,0,,,
Audi,Private,Germany,Automotive and Parts,No description available currently.,www.audi.com/en.html,"61,415 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.053,0,0,0,0.068,-0.325,0,0,0.053,-0.325,0,0,0,0,0,Mega,0,0,0,0,0,61604,0,0,,,
Uniper,Public,Germany,Environment and Energy,"Uniper SE [ˈjuːnipɚ] is since 2022 a state-owned energy company based in Düsseldorf, Germany. The name of the company is a portmanteau of ""unique"" and ""performance""  given by long-term employee Gregor Recke. Uniper was formed by the separation of E.ON's fossil fuel assets into a separate company that began operating on 1 January 2016. In 2019, the company employed about 11,000 people in over 40 countries. In 2018 around one-third of the employees were based in Germany. Until 2022, it owned a subsidiary company in Russia called Unipro. Uniper was listed on the Frankfurt Stock Exchange.The company has faced criticism for opening new coal-fueled power plants in Germany as recently as May 2020. Uniper was one of the financiers of the Nord Stream 2 project, which the German government suspended after the 2022 Russian invasion of Ukraine. The company was nationalised in December 2022.CollapseSource: Wikipedia",www.uniper.energy/,"11,743 (fortune500, 2020)",Europe,0,0,0,0,0,-0.017,0,0,0,0,0,-0.13,0.023,-0.564,0.25,0,0.014,-0.486,0,0,0.014,-0.486,0,0,0.027,-0.693,0,-0.125,0,0,0,Mega,0,0,0,0,0,73652,0,0,0.707048458,,
